iter	MultiClass
0	0.738507365
1	0.6215916886
2	0.5611590138
3	0.5269925269
4	0.5087067269
5	0.4959077205
6	0.4887876191
7	0.4836095865
8	0.4803278504
9	0.4778231245
10	0.4767942589
11	0.4757541619
12	0.4746341582
13	0.4734996465
14	0.4729760494
15	0.4723575822
16	0.4718994986
17	0.4712148804
18	0.4705133912
19	0.4699414213
20	0.4695419429
21	0.4692217568
22	0.4688840307
23	0.4685919858
24	0.4683376308
25	0.4678612135
26	0.4676425816
27	0.4674525315
28	0.4671647906
29	0.4669508566
30	0.4666977532
31	0.4663514337
32	0.466006496
33	0.4657318654
34	0.4654064993
35	0.4652237432
36	0.4650507774
37	0.4646905285
38	0.4645497909
39	0.4643817374
