iter	Passed	Remaining
0	397	15500
1	566	10765
2	731	9026
3	893	8041
4	1061	7427
5	1242	7043
6	1401	6605
7	1553	6214
8	1708	5886
9	1864	5592
10	2012	5306
11	2160	5041
12	2304	4787
13	2449	4548
14	2596	4327
15	2737	4106
16	2876	3891
17	3025	3697
18	3166	3499
19	3411	3411
20	3569	3229
21	3727	3049
22	3877	2865
23	4035	2690
24	4184	2510
25	4342	2338
26	4498	2165
27	4650	1993
28	4803	1822
29	4969	1656
30	5119	1486
31	5273	1318
32	5423	1150
33	5575	983
34	5732	818
35	5882	653
36	6033	489
37	6187	325
38	6339	162
39	6487	0
