Id,casualty_severity
241270,3
164802,3
201250,3
86459,3
304174,3
525173,2
18859,3
218763,3
74359,3
487040,2
551204,3
522433,2
280451,3
252326,3
465057,2
227825,3
530840,2
545486,3
122594,3
516797,3
408603,3
236069,3
38562,3
331157,3
626230,2
65512,3
662083,1
230385,1
107167,3
66123,2
600347,3
52101,3
32106,3
65377,3
166523,3
346783,3
110807,3
577388,2
35209,2
583831,3
17554,3
184816,3
213126,3
258521,3
31398,2
490195,3
23194,3
631895,3
455471,3
72315,3
632625,2
57736,3
637097,3
388647,2
280129,3
85603,2
526320,3
72385,3
447187,3
1337,3
494316,3
465964,3
441515,2
631708,3
87282,3
397401,3
296575,2
82431,2
529913,3
643119,2
119055,3
318842,2
398733,3
597172,3
295686,2
613793,3
307120,3
554725,3
107047,3
620812,3
424448,3
75151,3
369202,3
587105,3
319088,3
192624,3
365426,3
482143,3
333973,3
511110,3
664559,3
426763,2
79378,3
370083,3
9572,3
349214,2
626461,3
523503,3
168581,3
175412,3
589407,2
13286,3
531947,2
409419,2
155480,3
382201,3
422298,3
605273,3
371015,3
157609,3
433136,3
153667,3
580175,2
553623,3
356579,2
144611,3
81333,2
271868,3
147981,2
166550,3
505385,3
638309,2
132505,3
545749,3
134563,3
444599,3
135135,3
391777,3
34157,2
22333,2
155984,3
268100,2
298465,2
639859,3
437300,2
137044,2
490071,3
277257,3
537665,3
488678,3
644641,3
459431,3
90186,3
151022,3
327564,3
628637,3
33395,2
318060,3
453937,3
548891,3
156770,3
460999,2
322437,2
370801,3
249245,3
659331,3
196379,2
570736,3
1126,3
85415,3
378426,2
266266,3
162356,3
368330,3
615568,3
532788,3
297168,3
301096,3
399397,3
272271,3
296894,3
43953,3
378396,2
122255,3
296527,2
640694,3
392375,2
357101,3
533084,3
207972,3
328514,3
643482,2
389734,3
356080,3
227763,3
288287,3
58751,3
11967,3
120050,3
200632,3
381369,3
393729,2
372670,3
252863,3
242405,3
567738,3
252339,3
13778,3
232401,2
350059,3
294058,3
557147,3
174644,3
470836,3
55895,3
479631,3
503354,2
144717,3
501014,3
428234,3
536478,3
121802,3
629296,3
413133,3
603307,3
163334,3
638898,2
67108,3
471913,2
244016,3
537780,3
574439,3
16403,3
480774,3
352835,1
23433,3
44480,3
651574,3
216606,3
441996,3
225872,3
637865,3
614073,2
654945,3
437086,3
35222,3
117494,3
214253,3
93134,3
198370,3
420554,3
544446,3
112292,3
267068,3
24051,3
466917,3
182998,3
33104,3
388513,3
202046,3
48927,3
22608,3
352758,3
31523,3
94031,3
549193,3
20677,3
550643,3
388604,3
642420,3
223740,3
132522,3
69451,3
23639,3
515554,2
415193,3
376435,3
422271,3
395333,1
267505,2
240146,3
370232,3
15955,3
195194,3
577842,3
646512,3
416280,3
336275,3
482130,3
615325,3
122606,3
430001,2
66411,3
319831,3
146631,3
424661,2
247335,3
178449,3
474685,3
628403,2
75773,3
342257,2
635777,2
577105,3
345930,3
254290,3
439204,3
165059,3
47951,3
187053,2
302684,3
537012,3
614872,3
290258,3
529114,3
192338,3
5124,3
564176,3
169585,3
216645,2
460436,3
385600,3
492934,3
620828,3
122231,3
505393,3
367509,3
550970,3
188618,3
492478,3
501455,3
29866,3
587878,3
210772,3
345832,2
148621,2
356242,3
249781,3
549685,3
643952,3
96796,3
111647,3
454785,3
234972,3
646491,3
333323,3
148119,3
86020,3
580906,3
577803,3
415460,3
378039,3
633413,3
594927,2
156890,2
151019,2
448848,3
549810,3
516345,3
445716,2
262970,2
345673,1
154453,3
107147,2
353403,3
114163,2
57734,3
640754,3
19453,3
254051,3
514641,3
200934,3
617862,2
613969,3
34338,3
499983,3
139721,2
401040,3
494905,3
94491,3
630497,3
326387,3
393301,3
325292,3
580613,3
597837,3
170675,3
324309,2
557800,3
311278,3
289862,3
623508,2
400508,3
155293,3
556254,3
230390,3
513396,3
87278,3
338285,3
509977,3
517280,3
268188,3
506660,3
431695,3
101323,3
601398,3
