Id,casualty_severity
134951, 2
412163, 3
416093, 3
181732, 2
437085, 2
512989, 3
355374, 2
251819, 3
145353, 3
430575, 2
501786, 2
476900, 3
120128, 3
217961, 2
437136, 2
251504, 3
24627, 3
611730, 3
514231, 2
88456, 3
141914, 2
467737, 2
65876, 2
615834, 3
648115, 2
537339, 3
309737, 3
398941, 2
553190, 2
283372, 2
244101, 3
651479, 3
192056, 2
117605, 3
626845, 2
516786, 3
243751, 3
231376, 3
349930, 1
484293, 3
371118, 2
268309, 3
585053, 2
422128, 3
556378, 2
138325, 3
364296, 2
176802, 3
641144, 2
56482, 2
178920, 2
209729, 3
136436, 3
388970, 3
655667, 3
472539, 2
57289, 2
115460, 3
373658, 3
38475, 3
512877, 2
280932, 3
197200, 2
157426, 2
120950, 3
585529, 2
316504, 3
440939, 2
298141, 3
9606, 3
592042, 3
158726, 3
549766, 3
200807, 3
179583, 2
288752, 2
602344, 2
81301, 2
109897, 3
651208, 2
312200, 1
62826, 2
528726, 3
610231, 2
327088, 3
290052, 3
193064, 2
119729, 2
401157, 3
562921, 2
491835, 3
535053, 2
458317, 3
147585, 3
556261, 2
269368, 3
115111, 2
349990, 3
562482, 2
505685, 3
432380, 1
19350, 2
553884, 3
130056, 3
441611, 3
557118, 3
290025, 1
98533, 2
396558, 3
453465, 2
89734, 3
419772, 3
163494, 2
5877, 3
379454, 3
212802, 3
252053, 3
219644, 3
45925, 2
502003, 3
65168, 2
119586, 3
115755, 3
501085, 3
404341, 2
252329, 3
662376, 3
652042, 3
226849, 2
231904, 3
312524, 3
113966, 2
595775, 3
240032, 3
656721, 3
126269, 3
641159, 2
586878, 3
318413, 3
80074, 3
207027, 3
239946, 2
418977, 2
636620, 2
86393, 3
449872, 3
265592, 3
106952, 3
38751, 3
36372, 2
615939, 3
265559, 3
145050, 3
635445, 3
84632, 2
104010, 3
487329, 2
253789, 2
207035, 3
21699, 3
113254, 3
604739, 2
396766, 3
33936, 2
429950, 3
633037, 2
146995, 2
263548, 3
636711, 3
100975, 3
