Id,casualty_severity
134951, 2
412163, 3
416093, 3
181732, 2
437085, 2
512989, 3
355374, 3
251819, 3
145353, 3
430575, 3
501786, 3
476900, 2
120128, 2
217961, 2
437136, 3
251504, 3
24627, 3
611730, 3
514231, 3
88456, 3
141914, 2
467737, 2
65876, 3
615834, 2
648115, 2
537339, 3
309737, 2
398941, 3
553190, 3
283372, 3
244101, 2
651479, 3
192056, 3
117605, 3
626845, 2
516786, 2
243751, 2
231376, 2
349930, 3
484293, 3
371118, 3
268309, 2
585053, 3
422128, 3
556378, 3
138325, 2
364296, 3
176802, 3
641144, 3
56482, 2
178920, 3
209729, 2
136436, 3
388970, 3
655667, 2
472539, 3
57289, 3
115460, 3
373658, 3
38475, 3
512877, 2
280932, 3
197200, 2
157426, 3
120950, 3
585529, 2
316504, 2
440939, 2
298141, 2
9606, 3
592042, 2
158726, 3
549766, 3
200807, 2
179583, 3
288752, 3
602344, 2
81301, 2
109897, 2
651208, 2
312200, 3
62826, 2
528726, 2
610231, 3
327088, 2
290052, 3
193064, 2
119729, 3
401157, 3
562921, 3
491835, 3
535053, 3
458317, 3
147585, 3
556261, 3
269368, 3
115111, 2
349990, 2
562482, 3
505685, 3
432380, 3
19350, 3
553884, 3
130056, 3
441611, 3
557118, 3
290025, 3
98533, 3
396558, 2
453465, 3
89734, 2
419772, 3
163494, 3
5877, 3
379454, 2
212802, 2
252053, 2
219644, 3
45925, 2
502003, 3
65168, 3
119586, 3
115755, 2
501085, 2
404341, 3
252329, 3
662376, 3
652042, 2
226849, 2
231904, 3
312524, 2
113966, 2
595775, 3
240032, 3
656721, 3
126269, 3
641159, 3
586878, 3
318413, 3
80074, 3
207027, 3
239946, 3
418977, 3
636620, 2
86393, 2
449872, 3
265592, 2
106952, 3
38751, 3
36372, 2
615939, 3
265559, 2
145050, 3
635445, 2
84632, 2
104010, 3
487329, 3
253789, 2
207035, 3
21699, 2
113254, 2
604739, 2
396766, 2
33936, 2
429950, 3
633037, 2
146995, 2
263548, 2
636711, 2
100975, 2
