Id,casualty_severity
134951, 2
412163, 3
416093, 3
181732, 3
437085, 3
512989, 3
355374, 3
251819, 2
145353, 3
430575, 3
501786, 3
476900, 3
120128, 3
217961, 3
437136, 3
251504, 3
24627, 3
611730, 3
514231, 3
88456, 3
141914, 3
467737, 3
65876, 3
615834, 3
648115, 2
537339, 3
309737, 3
398941, 2
553190, 3
283372, 3
244101, 3
651479, 3
192056, 3
117605, 3
626845, 3
516786, 3
243751, 3
231376, 3
349930, 3
484293, 3
371118, 2
268309, 3
585053, 2
422128, 3
556378, 2
138325, 3
364296, 2
176802, 3
641144, 2
56482, 2
178920, 3
209729, 3
136436, 3
388970, 3
655667, 3
472539, 3
57289, 3
115460, 3
373658, 3
38475, 3
512877, 2
280932, 3
197200, 3
157426, 3
120950, 3
585529, 3
316504, 3
440939, 3
298141, 3
9606, 3
592042, 3
158726, 3
549766, 2
200807, 2
179583, 3
288752, 2
602344, 3
81301, 3
109897, 3
651208, 2
312200, 3
62826, 2
528726, 3
610231, 3
327088, 2
290052, 3
193064, 3
119729, 3
401157, 3
562921, 3
491835, 3
535053, 2
458317, 3
147585, 3
556261, 2
269368, 3
115111, 3
349990, 3
562482, 3
505685, 3
432380, 3
19350, 3
553884, 3
130056, 2
441611, 3
557118, 3
290025, 3
98533, 3
396558, 3
453465, 3
89734, 3
419772, 3
163494, 3
5877, 3
379454, 3
212802, 3
252053, 3
219644, 3
45925, 2
502003, 3
65168, 2
119586, 3
115755, 3
501085, 2
404341, 2
252329, 3
662376, 3
652042, 3
226849, 3
231904, 3
312524, 3
113966, 2
595775, 3
240032, 3
656721, 3
126269, 3
641159, 2
586878, 3
318413, 3
80074, 3
207027, 3
239946, 2
418977, 3
636620, 3
86393, 3
449872, 3
265592, 2
106952, 3
38751, 3
36372, 2
615939, 3
265559, 3
145050, 3
635445, 3
84632, 3
104010, 3
487329, 3
253789, 3
207035, 3
21699, 3
113254, 3
604739, 3
396766, 3
33936, 3
429950, 3
633037, 3
146995, 2
263548, 3
636711, 3
100975, 2
