Id,casualty_severity
134951, 1
412163, 3
416093, 1
181732, 1
437085, 1
512989, 1
355374, 1
251819, 1
145353, 1
430575, 1
501786, 1
476900, 1
120128, 3
217961, 3
437136, 1
251504, 3
24627, 3
611730, 1
514231, 1
88456, 1
141914, 1
467737, 1
65876, 1
615834, 1
648115, 1
537339, 3
309737, 1
398941, 1
553190, 1
283372, 1
244101, 1
651479, 1
192056, 1
117605, 3
626845, 1
516786, 1
243751, 1
231376, 3
349930, 1
484293, 3
371118, 1
268309, 1
585053, 1
422128, 3
556378, 1
138325, 3
364296, 1
176802, 1
641144, 1
56482, 1
178920, 1
209729, 1
136436, 3
388970, 1
655667, 1
472539, 3
57289, 1
115460, 3
373658, 3
38475, 1
512877, 1
280932, 3
197200, 1
157426, 1
120950, 3
585529, 1
316504, 1
440939, 1
298141, 1
9606, 3
592042, 1
158726, 3
549766, 3
200807, 1
179583, 1
288752, 1
602344, 1
81301, 1
109897, 1
651208, 1
312200, 1
62826, 1
528726, 3
610231, 1
327088, 1
290052, 1
193064, 1
119729, 1
401157, 3
562921, 1
491835, 3
535053, 1
458317, 1
147585, 1
556261, 1
269368, 3
115111, 1
349990, 1
562482, 1
505685, 3
432380, 1
19350, 1
553884, 1
130056, 1
441611, 1
557118, 3
290025, 1
98533, 1
396558, 3
453465, 1
89734, 3
419772, 1
163494, 1
5877, 3
379454, 1
212802, 1
252053, 1
219644, 3
45925, 1
502003, 1
65168, 1
119586, 1
115755, 1
501085, 1
404341, 1
252329, 1
662376, 3
652042, 1
226849, 1
231904, 3
312524, 1
113966, 1
595775, 1
240032, 3
656721, 1
126269, 3
641159, 1
586878, 1
318413, 1
80074, 3
207027, 1
239946, 1
418977, 1
636620, 1
86393, 1
449872, 1
265592, 1
106952, 3
38751, 1
36372, 1
615939, 3
265559, 3
145050, 1
635445, 1
84632, 1
104010, 1
487329, 1
253789, 1
207035, 3
21699, 1
113254, 1
604739, 1
396766, 3
33936, 1
429950, 1
633037, 1
146995, 1
263548, 1
636711, 3
100975, 1
629145, 1
216774, 1
156144, 1
567817, 1
610480, 1
651603, 1
417345, 1
454689, 1
539166, 1
177011, 1
16878, 1
8665, 1
281654, 3
635616, 1
108510, 1
422174, 3
448418, 1
473839, 1
569005, 1
609866, 1
174243, 1
255491, 1
223467, 1
194571, 3
587215, 1
451489, 1
620689, 3
304117, 1
340302, 1
396730, 1
218094, 1
152440, 1
342688, 1
64681, 1
288307, 3
313201, 1
226429, 1
317334, 1
139480, 1
71583, 1
97953, 1
16828, 1
460653, 1
12596, 1
253661, 3
209894, 1
350156, 1
53872, 1
375490, 1
48275, 1
257652, 1
262564, 1
493913, 1
293022, 3
636852, 3
199500, 1
222715, 1
93027, 1
431496, 1
488734, 1
379876, 1
655360, 1
505422, 1
128220, 1
336492, 1
117053, 3
241496, 1
198386, 3
370046, 1
484956, 1
229862, 1
650828, 1
255122, 3
568814, 1
370008, 1
527316, 1
384297, 1
265255, 3
603852, 1
432520, 1
586670, 1
411618, 1
628044, 3
247294, 1
663407, 3
183156, 1
158971, 3
381505, 3
140831, 1
454868, 1
115210, 1
555237, 1
367465, 1
517145, 1
347127, 1
35795, 1
341845, 1
107541, 1
418561, 1
45533, 1
15658, 1
134674, 3
65777, 3
271902, 1
409015, 1
656256, 1
656103, 3
156397, 1
381018, 3
212918, 1
245857, 1
277584, 1
370317, 1
468006, 1
517836, 1
242082, 3
352695, 1
447256, 1
657659, 2
77251, 1
484052, 1
447891, 1
4914, 1
272465, 3
432404, 1
17490, 1
62444, 3
122797, 1
426682, 1
359813, 1
433047, 1
486199, 3
309862, 1
400748, 1
558635, 1
567678, 1
491799, 1
60030, 1
659282, 3
365930, 3
357904, 1
505621, 1
607727, 1
248268, 1
151124, 3
255111, 1
605924, 1
162113, 1
126140, 3
344995, 1
87664, 1
419985, 3
230136, 3
647189, 3
434251, 1
215618, 3
388352, 1
404755, 1
10616, 1
268872, 1
288236, 1
238736, 3
511688, 1
264361, 1
89025, 3
509555, 1
329058, 1
130122, 1
632216, 3
262632, 1
285823, 1
612705, 1
287423, 1
579267, 1
113216, 3
448342, 1
348416, 1
501526, 3
332612, 1
553475, 3
100746, 1
472403, 3
184539, 1
493623, 1
643432, 3
343894, 1
507093, 1
479320, 1
91943, 1
399219, 1
348682, 1
546886, 1
302145, 1
507290, 1
75057, 1
80566, 1
346181, 3
107346, 3
314030, 3
60139, 1
563715, 1
146558, 1
506985, 3
226177, 3
118506, 1
342233, 1
315205, 1
334433, 1
408250, 3
595551, 1
7741, 1
274447, 1
217802, 3
52418, 1
242640, 1
225678, 3
98210, 3
517260, 1
626361, 1
375836, 1
79165, 1
230253, 1
66075, 1
521878, 3
235656, 3
48328, 2
608768, 1
279893, 1
40238, 1
390034, 1
552869, 1
253307, 1
568685, 1
335542, 1
191993, 1
46562, 1
84094, 1
296927, 1
208677, 1
259610, 1
395513, 1
578784, 1
491055, 1
402823, 1
117508, 3
119284, 3
616226, 3
484844, 1
388565, 3
381331, 1
313110, 1
404705, 1
474375, 1
131281, 1
150000, 1
233758, 3
550589, 1
89985, 1
419131, 1
647169, 1
442404, 1
540553, 3
632368, 1
93319, 1
148728, 1
113374, 1
68212, 1
614226, 1
254834, 1
580264, 1
72216, 1
460114, 1
295851, 1
67418, 1
234396, 3
498007, 3
265020, 1
16424, 1
94733, 1
99543, 1
241859, 1
408959, 1
444743, 2
619445, 1
44429, 1
415185, 1
421257, 1
96825, 1
544478, 3
503908, 1
260280, 1
175982, 1
213417, 1
303963, 1
198750, 1
447971, 1
382588, 1
546148, 1
545484, 3
613065, 1
424655, 1
617938, 1
432282, 1
132512, 3
424785, 1
199039, 1
29762, 1
634583, 1
601565, 1
162145, 3
391363, 3
198773, 1
150360, 3
465781, 3
33220, 1
368030, 1
50637, 1
222537, 1
156518, 1
275218, 1
478256, 3
561894, 1
113938, 1
130241, 1
516946, 1
444302, 1
603750, 1
575539, 1
655687, 1
304763, 1
269747, 1
502106, 3
268498, 1
655523, 1
34920, 1
177834, 1
282606, 1
254224, 1
418825, 1
429379, 1
10857, 3
423975, 1
459076, 1
124315, 1
453226, 1
229835, 3
161493, 1
200627, 1
649163, 1
182200, 1
93855, 1
110926, 1
565249, 3
650194, 1
281914, 1
289254, 1
533467, 1
253530, 3
452176, 1
428158, 1
222147, 1
192098, 1
539394, 1
92527, 1
655838, 1
402615, 3
326281, 1
19114, 1
665236, 3
20461, 1
444889, 1
572158, 1
194752, 1
159705, 1
607290, 1
66085, 3
271837, 1
639371, 3
191708, 1
9343, 3
287564, 1
346962, 1
657397, 1
27438, 3
152659, 1
187447, 1
608928, 1
434075, 1
144566, 1
316733, 1
647279, 1
438619, 1
365132, 3
486187, 3
369507, 3
134734, 3
614667, 3
558320, 3
198615, 1
475303, 1
402209, 1
451795, 1
597001, 1
68060, 3
466189, 1
262424, 3
596419, 1
140343, 1
397664, 1
461136, 1
442513, 1
27004, 1
209028, 1
53132, 1
108087, 1
432013, 1
622735, 1
218623, 1
233359, 1
320329, 1
194209, 1
58588, 1
195989, 1
178402, 1
262393, 1
645047, 1
108947, 3
123309, 1
497376, 1
614349, 1
283461, 1
355714, 1
646672, 1
9784, 1
602543, 1
465239, 1
15773, 1
516923, 3
656772, 3
243407, 1
647998, 1
613481, 1
246753, 1
504278, 3
584612, 1
568222, 1
340961, 1
71103, 1
582204, 1
118518, 1
277644, 3
583941, 1
404420, 1
180838, 1
517833, 1
280320, 1
126523, 3
492711, 1
661423, 1
99805, 1
612931, 3
648990, 1
589404, 1
184043, 1
514946, 1
141225, 1
498853, 1
172969, 1
195905, 1
170718, 1
558361, 3
8951, 1
372409, 1
52519, 1
355176, 3
315571, 1
557499, 1
303489, 1
3457, 1
38390, 1
325634, 1
540131, 3
636690, 1
361425, 3
262140, 3
81276, 1
205752, 1
645438, 1
297489, 1
269235, 1
519866, 3
414362, 1
368574, 1
460428, 1
616248, 1
324061, 3
24803, 1
413366, 1
285467, 1
476481, 1
28368, 1
423606, 3
95855, 1
178934, 1
512549, 1
449414, 1
233918, 3
356465, 3
639071, 1
478447, 3
601596, 1
246318, 3
573159, 1
353767, 1
132009, 1
110077, 1
526030, 1
17294, 1
179592, 1
48008, 1
587600, 1
34288, 1
151281, 3
349470, 1
227843, 3
161710, 1
346791, 1
158333, 3
202501, 3
237460, 3
197859, 3
658105, 3
613427, 3
405977, 3
545863, 1
248996, 3
263868, 1
259145, 1
415755, 1
510141, 3
612493, 1
624468, 1
560140, 1
276004, 1
231065, 3
238633, 1
77555, 3
301699, 1
402150, 1
26048, 1
507572, 3
414467, 1
518174, 1
408844, 1
574046, 1
544615, 1
4672, 3
489801, 3
