Id,casualty_severity
134951, 2
412163, 3
416093, 1
181732, 1
437085, 1
512989, 3
355374, 1
251819, 3
145353, 3
430575, 2
501786, 2
476900, 2
120128, 2
217961, 2
437136, 1
251504, 3
24627, 3
611730, 2
514231, 2
88456, 2
141914, 2
467737, 1
65876, 2
615834, 2
648115, 2
537339, 3
309737, 2
398941, 2
553190, 2
283372, 2
244101, 2
651479, 2
192056, 2
117605, 2
626845, 1
516786, 3
243751, 3
231376, 3
349930, 1
484293, 2
371118, 2
268309, 3
585053, 1
422128, 3
556378, 2
138325, 3
364296, 2
176802, 3
641144, 1
56482, 2
178920, 1
209729, 3
136436, 2
388970, 2
655667, 3
472539, 2
57289, 1
115460, 3
373658, 2
38475, 3
512877, 2
280932, 3
197200, 2
157426, 1
120950, 2
585529, 1
316504, 3
440939, 1
298141, 3
9606, 3
592042, 3
158726, 3
549766, 3
200807, 3
179583, 1
288752, 3
602344, 2
81301, 1
109897, 3
651208, 3
312200, 1
62826, 1
528726, 2
610231, 2
327088, 3
290052, 2
193064, 2
119729, 2
401157, 3
562921, 1
491835, 2
535053, 1
458317, 2
147585, 2
556261, 3
269368, 3
115111, 2
349990, 3
562482, 2
505685, 3
432380, 1
19350, 2
553884, 2
130056, 3
441611, 3
557118, 3
290025, 1
98533, 2
396558, 3
453465, 1
89734, 2
419772, 3
163494, 1
5877, 3
379454, 3
212802, 3
252053, 2
219644, 2
45925, 1
502003, 2
65168, 2
119586, 2
115755, 2
501085, 3
404341, 1
252329, 2
662376, 3
652042, 3
226849, 2
231904, 3
312524, 3
113966, 2
595775, 2
240032, 3
656721, 3
126269, 3
641159, 3
586878, 2
318413, 3
80074, 2
207027, 3
239946, 1
418977, 1
636620, 2
86393, 3
449872, 3
265592, 3
106952, 2
38751, 3
36372, 2
615939, 2
265559, 3
145050, 2
635445, 1
84632, 1
104010, 3
487329, 1
253789, 1
207035, 2
21699, 2
113254, 2
604739, 1
396766, 2
33936, 1
429950, 2
633037, 1
146995, 3
263548, 2
636711, 2
100975, 3
