Id,casualty_severity
134951, 3
412163, 3
416093, 3
181732, 3
437085, 3
512989, 2
355374, 3
251819, 3
145353, 3
430575, 3
501786, 3
476900, 3
120128, 3
217961, 3
437136, 3
251504, 2
24627, 3
611730, 3
514231, 2
88456, 3
141914, 3
467737, 3
65876, 3
615834, 3
648115, 3
537339, 3
309737, 3
398941, 2
553190, 2
283372, 3
244101, 2
651479, 3
192056, 2
117605, 3
626845, 3
516786, 2
243751, 3
231376, 3
349930, 1
484293, 3
371118, 3
268309, 3
585053, 3
422128, 3
556378, 3
138325, 3
364296, 3
176802, 2
641144, 3
56482, 3
178920, 3
209729, 3
136436, 3
388970, 3
655667, 3
472539, 2
57289, 3
115460, 3
373658, 3
38475, 3
512877, 2
280932, 3
197200, 3
157426, 3
120950, 3
585529, 3
316504, 3
440939, 3
298141, 2
9606, 3
592042, 2
158726, 3
549766, 3
200807, 3
179583, 3
288752, 2
602344, 3
81301, 3
109897, 2
651208, 2
312200, 3
62826, 2
528726, 3
610231, 3
327088, 3
290052, 3
193064, 3
119729, 3
401157, 3
562921, 3
491835, 3
535053, 3
458317, 3
147585, 3
556261, 3
269368, 3
115111, 2
349990, 3
562482, 1
505685, 3
432380, 3
19350, 2
553884, 3
130056, 3
441611, 1
557118, 3
290025, 2
98533, 3
396558, 2
453465, 3
89734, 3
419772, 3
163494, 3
5877, 3
379454, 3
212802, 2
252053, 3
219644, 2
45925, 3
502003, 3
65168, 3
119586, 3
115755, 3
501085, 3
404341, 3
252329, 3
662376, 3
652042, 1
226849, 3
231904, 3
312524, 1
113966, 3
595775, 3
240032, 3
656721, 3
126269, 3
641159, 3
586878, 3
318413, 3
80074, 2
207027, 3
239946, 3
418977, 3
636620, 3
86393, 3
449872, 3
265592, 3
106952, 3
38751, 3
36372, 3
615939, 3
265559, 3
145050, 3
635445, 3
84632, 3
104010, 3
487329, 3
253789, 2
207035, 3
21699, 3
113254, 3
604739, 3
396766, 3
33936, 3
429950, 3
633037, 3
146995, 3
263548, 3
636711, 3
100975, 3
629145, 3
216774, 3
156144, 2
567817, 3
610480, 3
651603, 3
417345, 3
454689, 3
539166, 3
177011, 3
16878, 2
8665, 2
281654, 3
635616, 3
108510, 3
422174, 3
448418, 2
473839, 3
569005, 2
609866, 3
174243, 2
255491, 3
223467, 2
194571, 3
587215, 3
451489, 3
620689, 2
304117, 3
340302, 2
396730, 3
218094, 2
152440, 3
342688, 3
64681, 3
288307, 3
313201, 1
226429, 2
317334, 3
139480, 2
71583, 3
97953, 3
16828, 2
460653, 3
12596, 3
253661, 3
209894, 2
350156, 3
53872, 3
375490, 2
48275, 3
257652, 3
262564, 3
493913, 3
293022, 3
636852, 3
199500, 3
222715, 3
93027, 3
431496, 3
488734, 3
379876, 3
655360, 3
505422, 3
128220, 3
336492, 2
117053, 3
241496, 3
198386, 3
370046, 3
484956, 2
229862, 3
650828, 2
255122, 2
568814, 3
370008, 3
527316, 3
384297, 3
265255, 3
603852, 2
432520, 3
586670, 3
411618, 3
628044, 3
247294, 3
663407, 3
183156, 3
158971, 3
381505, 3
140831, 2
454868, 3
115210, 3
555237, 3
367465, 3
517145, 3
347127, 1
35795, 3
341845, 3
107541, 2
418561, 3
45533, 3
15658, 2
134674, 3
65777, 3
271902, 2
409015, 3
656256, 3
656103, 3
156397, 3
381018, 3
212918, 3
245857, 3
277584, 3
370317, 3
468006, 2
517836, 3
242082, 3
352695, 3
447256, 3
657659, 2
77251, 3
484052, 3
447891, 2
4914, 3
272465, 3
432404, 2
17490, 3
62444, 3
122797, 3
426682, 3
359813, 3
433047, 3
486199, 3
309862, 1
400748, 3
558635, 2
567678, 2
491799, 3
60030, 2
659282, 3
365930, 3
357904, 3
505621, 2
607727, 3
248268, 3
151124, 3
255111, 3
605924, 3
162113, 3
126140, 3
344995, 3
87664, 3
419985, 3
230136, 3
647189, 3
434251, 3
215618, 3
388352, 3
404755, 3
10616, 3
268872, 2
288236, 3
238736, 3
511688, 3
264361, 2
89025, 3
509555, 3
329058, 3
130122, 3
632216, 3
262632, 3
285823, 2
612705, 3
287423, 3
579267, 2
113216, 2
448342, 3
348416, 3
501526, 3
332612, 1
553475, 3
100746, 3
472403, 3
184539, 3
493623, 3
643432, 3
343894, 3
507093, 3
479320, 3
91943, 2
399219, 3
348682, 3
546886, 2
302145, 3
507290, 3
75057, 3
80566, 2
346181, 2
107346, 2
314030, 3
60139, 2
563715, 1
146558, 3
506985, 3
226177, 3
118506, 3
342233, 3
315205, 3
334433, 3
408250, 3
595551, 1
7741, 2
274447, 3
217802, 2
52418, 3
242640, 3
225678, 3
98210, 3
517260, 3
626361, 3
375836, 3
79165, 3
230253, 2
66075, 3
521878, 3
235656, 3
48328, 3
608768, 3
279893, 3
40238, 3
390034, 3
552869, 2
253307, 3
568685, 3
335542, 3
191993, 2
46562, 3
84094, 3
296927, 3
208677, 3
259610, 3
395513, 3
578784, 3
491055, 3
402823, 3
117508, 3
119284, 3
616226, 3
484844, 3
388565, 3
381331, 1
313110, 3
404705, 3
474375, 2
131281, 3
150000, 3
233758, 3
550589, 3
89985, 3
419131, 3
647169, 3
442404, 2
540553, 3
632368, 3
93319, 3
148728, 3
113374, 3
68212, 3
614226, 3
254834, 1
580264, 2
72216, 2
460114, 3
295851, 3
67418, 2
234396, 3
498007, 3
265020, 3
16424, 3
94733, 3
99543, 3
241859, 3
408959, 3
444743, 3
619445, 3
44429, 3
415185, 3
421257, 3
96825, 2
544478, 3
503908, 3
260280, 3
175982, 2
213417, 3
303963, 3
198750, 3
447971, 3
382588, 3
546148, 3
545484, 3
613065, 3
424655, 2
617938, 3
432282, 2
132512, 3
424785, 3
199039, 3
29762, 3
634583, 3
601565, 3
162145, 3
391363, 3
198773, 3
150360, 3
465781, 3
33220, 3
368030, 3
50637, 2
222537, 3
156518, 2
275218, 2
478256, 3
561894, 3
113938, 3
130241, 3
516946, 2
444302, 3
603750, 3
575539, 2
655687, 3
304763, 3
269747, 3
502106, 3
268498, 3
655523, 2
34920, 3
177834, 3
282606, 3
254224, 3
418825, 2
429379, 3
10857, 3
423975, 3
459076, 3
124315, 1
453226, 3
229835, 3
161493, 3
200627, 3
649163, 3
182200, 3
93855, 3
110926, 3
565249, 3
650194, 3
281914, 3
289254, 3
533467, 2
253530, 3
452176, 2
428158, 3
222147, 3
192098, 3
539394, 3
92527, 3
655838, 3
402615, 3
326281, 3
19114, 3
665236, 3
20461, 3
444889, 3
572158, 3
194752, 3
159705, 3
607290, 2
66085, 3
271837, 3
639371, 3
191708, 3
9343, 3
287564, 2
346962, 2
657397, 3
27438, 3
152659, 3
187447, 3
608928, 3
434075, 3
144566, 3
316733, 3
647279, 3
438619, 3
365132, 3
486187, 3
369507, 3
134734, 2
614667, 3
558320, 3
198615, 2
475303, 3
402209, 3
451795, 3
597001, 1
68060, 3
466189, 3
262424, 3
596419, 1
140343, 3
397664, 2
461136, 3
442513, 3
27004, 3
209028, 3
53132, 2
108087, 3
432013, 3
622735, 3
