Id,casualty_severity
134951, 2
412163, 2
416093, 2
181732, 2
437085, 2
512989, 2
355374, 2
251819, 2
145353, 2
430575, 2
501786, 2
476900, 2
120128, 2
217961, 3
437136, 2
251504, 3
24627, 3
611730, 2
514231, 2
88456, 3
141914, 2
467737, 2
65876, 2
615834, 2
648115, 2
537339, 3
309737, 2
398941, 3
553190, 3
283372, 3
244101, 2
651479, 3
192056, 2
117605, 3
626845, 2
516786, 3
243751, 2
231376, 2
349930, 2
484293, 2
371118, 2
268309, 2
585053, 2
422128, 3
556378, 2
138325, 3
364296, 2
176802, 3
641144, 2
56482, 2
178920, 2
209729, 2
136436, 2
388970, 3
655667, 2
472539, 3
57289, 2
115460, 2
373658, 2
38475, 2
512877, 2
280932, 3
197200, 3
157426, 3
120950, 2
585529, 3
316504, 2
440939, 2
298141, 2
9606, 3
592042, 2
158726, 3
549766, 2
200807, 2
179583, 2
288752, 3
602344, 2
81301, 2
109897, 2
651208, 2
312200, 3
62826, 3
528726, 2
610231, 2
327088, 2
290052, 2
193064, 2
119729, 3
401157, 2
562921, 2
491835, 2
535053, 2
458317, 2
147585, 2
556261, 3
269368, 3
115111, 3
349990, 2
562482, 2
505685, 3
432380, 3
19350, 3
553884, 3
130056, 2
441611, 2
557118, 3
290025, 3
98533, 2
396558, 3
453465, 3
89734, 2
419772, 3
163494, 2
5877, 3
379454, 2
212802, 2
252053, 2
219644, 2
45925, 2
502003, 2
65168, 2
119586, 2
115755, 2
501085, 2
404341, 2
252329, 2
662376, 2
652042, 2
226849, 2
231904, 3
312524, 2
113966, 2
595775, 2
240032, 2
656721, 2
126269, 2
641159, 2
586878, 2
318413, 3
80074, 3
207027, 2
239946, 2
418977, 3
636620, 2
86393, 2
449872, 2
265592, 2
106952, 2
38751, 2
36372, 2
615939, 2
265559, 3
145050, 2
635445, 2
84632, 3
104010, 2
487329, 2
253789, 2
207035, 2
21699, 2
113254, 2
604739, 2
396766, 2
33936, 2
429950, 3
633037, 2
146995, 3
263548, 2
636711, 2
100975, 2
629145, 3
216774, 2
156144, 3
567817, 2
610480, 2
651603, 2
417345, 2
454689, 2
539166, 2
177011, 3
16878, 2
8665, 2
281654, 3
635616, 2
108510, 3
422174, 3
448418, 3
473839, 2
569005, 3
609866, 2
174243, 3
255491, 2
223467, 2
194571, 2
587215, 2
451489, 2
620689, 3
304117, 3
